#BOS,flight
بدهید,O
#EOS,7
#BOS,abbreviation
یو‌ای,B-airline_code
چیست,O
#EOS,8
#BOS,flight
ایا,O
شما,O
یک,O
پرواز,O
یونایتد,B-airline_name
از,O
دالاس,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
دارید,O
#EOS,9
#BOS,flight
لطفا,O
برنامه‌های,B-flight_time
پرواز,I-flight_time
از,O
بالتیمور,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
را,O
به,O
من,O
بدهید,O
#EOS,10
#BOS,flight
تمام,O
پرواز‌ها,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
به,O
همراه,O
قیمت,O
هایشان,O
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,11
#BOS,flight
پروازهایی,O
که,O
چهارم,B-arrive_date.day_number
اوت,B-arrive_date.month_name
قبل,B-arrive_time.time_relative
از,I-arrive_time.time_relative
ظهر,B-arrive_time.time
از,O
بالتیمور,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
میرسند,O
را,O
لیست,O
کن,O
#EOS,12
#BOS,abbreviation
محدودیت,O
ای‌پی,B-restriction_code
۵۷,I-restriction_code
به,O
چه,O
معناست,O
#EOS,13
#BOS,flight
ارزان‌ترین,B-cost_relative
پروازها,O
از,O
نیویورک,B-fromloc.city_name
به,O
میامی,B-toloc.city_name
چیست,O
#EOS,14
#BOS,flight
پروازهای,O
دنور,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
را,O
می‌خواهم,O
#EOS,15
#BOS,flight
من,O
به,O
دنبال,O
یک,O
پرواز,O
از,O
خطوط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
از,O
دالاس,B-fromloc.city_name
به,O
واشنگتن,B-toloc.city_name
هستم,O
#EOS,16
#BOS,flight
اخرین,B-flight_mod
پرواز,O
با,O
شام,B-meal_description
از,O
بالتیمور,B-fromloc.city_name
به,O
اوکلند,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,17
#BOS,flight
من,O
به,O
دنبال,O
یک,O
پرواز,O
از,O
سینسیناتی,B-fromloc.city_name
به,O
بربنک,B-toloc.city_name
هستم,O
پرواز,O
باید,O
با,O
امریکن,B-airline_name
باشد,O
و,O
بعد,B-depart_time.period_of_day
از,I-depart_time.period_of_day
ظهر,I-depart_time.period_of_day
حرکت,O
کند,O
اطلاعات,O
هواپیما,O
و,O
شماره,O
پرواز,O
را,O
باید,O
بدانم,O
#EOS,18
#BOS,flight
چه,O
پروازهایی,O
از,O
کانزاس,B-fromloc.city_name
سیتی,I-fromloc.city_name
به,O
دنور,B-toloc.city_name
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
۸۴۵,B-depart_time.time
صبح,B-depart_time.period_of_day
هست,O
#EOS,19
#BOS,flight
یک,O
زمانبندی,O
سفر,O
برای,O
یک,O
پرواز,O
رفت,B-round_trip
و,I-round_trip
برگشتی,I-round_trip
از,O
بالتیمور,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
پیدا,O
کن,O
#EOS,20
#BOS,flight
پروازهای,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
با,O
خطوط,B-airline_name
هوایی,I-airline_name
یونایتد,I-airline_name
چیست,O
#EOS,21
#BOS,flight
تمام,O
پروازهای,O
بدون,B-flight_stop
توقف,I-flight_stop
روز,O
چهارشنبه,B-arrive_date.day_name
از,O
بالتیمور,B-fromloc.city_name
به,O
نیوارک,B-toloc.city_name
قبل,B-arrive_time.time_relative
از,I-arrive_time.time_relative
ظهر,B-arrive_time.time
را,O
لیست,O
کنید,O
#EOS,22
#BOS,flight
تمام,O
پروازهای,O
رفت,B-round_trip
و,I-round_trip
برگشتی,I-round_trip
از,O
نیویورک,B-fromloc.city_name
به,O
میامی,B-toloc.city_name
با,O
هزینه‌ی,O
کمتر,B-cost_relative
از,O
۴۶۶,B-fare_amount
دلار,I-fare_amount
را,O
بهم,O
بده,O
#EOS,23
#BOS,flight
می‌توانید,O
تمام,O
پروازها,O
بین,O
میلواکی,B-fromloc.city_name
و,O
شیکاگو,B-toloc.city_name
را,O
لیست,O
کنید,O
#EOS,24
#BOS,flight
تمام,O
پروازها,O
از,O
فیلادلفیا,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
در,O
روز,O
یکشنبه,B-depart_date.day_name
کدام,O
اند,O
#EOS,25
#BOS,flight
بسیار,O
خب,O
می‌خواهم,O
صبح,B-depart_time.period_of_day
زود,B-depart_time.period_mod
روز,O
دوشنبه,B-depart_date.day_name
سی,B-depart_date.day_number
و,I-depart_date.day_number
یکم,I-depart_date.day_number
مه,B-depart_date.month_name
از,O
سن,B-fromloc.city_name
دیگو,I-fromloc.city_name
به,O
فینیکس,B-toloc.city_name
بروم,O
#EOS,26
#BOS,flight
لطفا,O
تمام,O
پروازهای,O
بدون,B-flight_stop
توقف,I-flight_stop
بین,O
بوستون,B-fromloc.city_name
و,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
را,O
فهرست,O
کنید,O
#EOS,27
#BOS,abbreviation
کد,O
هزینه,O
وای‌ان,B-fare_basis_code
چیست,O
#EOS,28
#BOS,flight
ایا,O
پرواز,O
دی‌ال,B-airline_code
۳۲۳,B-flight_number
دی‌ال,B-airline_code
۲۹۹,B-flight_number
از,O
بوستون,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
در,O
فیلادلفیا,B-stoploc.city_name
توقف,O
دارد,O
#EOS,29
#BOS,flight
چه,O
پروازهایی,O
از,O
دلتا,B-airline_name
از,O
سینسیناتی,B-fromloc.city_name
به,O
نیویورک,B-toloc.city_name
سیتی,I-toloc.city_name
قبل,B-arrive_time.time_relative
از,I-arrive_time.time_relative
۶,B-arrive_time.time
بعد,I-arrive_time.time
از,I-arrive_time.time
ظهر,I-arrive_time.time
روز,O
شنبه,B-arrive_date.day_name
به,O
نیویورک,B-toloc.city_name
سیتی,I-toloc.city_name
می‌رسند,O
#EOS,30
#BOS,airline
ایا,O
هیچ,O
خط,O
هوایی,O
ای,O
در,O
عصر,B-depart_time.period_of_day
پروازی,O
از,O
بوستون,B-fromloc.city_name
به,O
اوکلند,B-toloc.city_name
دارد,O
#EOS,31
#BOS,flight
پروازها,O
با,O
نرخ,O
بلیط,O
از,O
ایندیاناپولیس,B-fromloc.city_name
به,O
اورلاندو,B-toloc.city_name
را,O
در,O
بیست,B-depart_date.day_number
و,I-depart_date.day_number
هفتم,I-depart_date.day_number
دسامبر,B-depart_date.month_name
به,O
من,O
بدهید,O
#EOS,32
#BOS,flight
لطفا,O
پروازهای,O
سه,B-depart_date.day_name
شنبه,I-depart_date.day_name
از,O
نیویورک,B-fromloc.city_name
به,O
میامی,B-toloc.city_name
را,O
لیست,O
کنید,O
#EOS,33
#BOS,flight
ایا,O
می‌توانم,O
لیست,O
پروازهای,O
لانگ,B-fromloc.city_name
بیچ,I-fromloc.city_name
کالیفرنیا,B-fromloc.state_name
به,O
کلمبوس,B-toloc.city_name
اوهایو,B-toloc.state_name
را,O
در,O
روز,O
چهارشنبه,B-depart_date.day_name
داشته,O
باشم,O
#EOS,34
#BOS,flight
می‌خواهم,O
ارزان‌ترین,B-cost_relative
پرواز,O
اول,B-depart_date.day_number
اوت,B-depart_date.month_name
از,O
اتلانتا,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
را,O
رزرو,O
کنم,O
#EOS,35
#BOS,flight
من,O
به,O
دنبال,O
پروازی,O
هستم,O
که,O
در,O
تاریخ,O
سی,B-depart_date.day_number
ام,I-depart_date.day_number
مه,B-depart_date.month_name
از,O
سن,B-fromloc.city_name
خوزه,I-fromloc.city_name
به,O
هیوستون,B-toloc.city_name
برود,O
و,O
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ظهر,B-depart_time.time
حرکت,O
کند,O
#EOS,36
#BOS,flight
پروازها,O
از,O
کانزاس,B-fromloc.city_name
سیتی,I-fromloc.city_name
به,O
کلیولند,B-toloc.city_name
در,O
چهارشنبه,B-depart_date.day_name
قبل,B-depart_time.time_relative
از,I-depart_time.time_relative
۵,B-depart_time.time
عصر,I-depart_time.time
#EOS,37
#BOS,quantity
پرواز,O
۱۷۶۵,B-flight_number
کنتیننتال,B-airline_name
از,O
بوستون,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
چه,O
تعداد,O
توقف,O
دارد,O
#EOS,38
#BOS,flight
اولین,B-flight_mod
پروازی,O
که,O
در,O
تورنتو,B-toloc.city_name
فرود,O
می‌اید,O
از,O
سینسیناتی,B-fromloc.city_name
را,O
نشانم,O
بده,O
#EOS,39
#BOS,flight
تمام,O
پروازهای,O
خروجی,O
امروز,B-depart_date.today_relative
از,O
بوستون,B-fromloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,40
#BOS,flight
من,O
باید,O
ده,O
نفر,O
را,O
با,O
یک,O
توقف,O
در,O
فینیکس,B-stoploc.city_name
از,O
دنور,B-fromloc.city_name
به,O
سن,B-toloc.city_name
دیگو,I-toloc.city_name
برسانم,O
لطفا,O
پروازها,O
را,O
به,O
من,O
بدهید,O
#EOS,41
#BOS,flight
اطلاعات,O
در,O
مورد,O
پروازها,O
از,O
بالتیمور,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
#EOS,42
#BOS,flight
من,O
پروازهای,O
مستقیم,B-connect
کوچ,B-class_type
از,O
پیتسبرگ,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
را,O
میخواهم,O
#EOS,43
#BOS,flight
لطفا,O
پروازهای,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
بین,O
۱۰,B-depart_time.start_time
صبح,I-depart_time.start_time
تا,O
۲,B-depart_time.end_time
بعد,I-depart_time.end_time
از,I-depart_time.end_time
ظهر,I-depart_time.end_time
رو,O
به,O
من,O
نشان,O
دهید,O
#EOS,44
#BOS,ground_service
چه,O
خدمات,O
زمینی‌ای,O
در,O
بالتیمور,B-city_name
در,O
دسترس,O
است,O
#EOS,45
#BOS,flight
پروازهای,O
بوستون,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ساعت,B-depart_time.time
۱۷۰۰,I-depart_time.time
روز,O
چهارشنبه,B-depart_date.day_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,46
#BOS,flight
پروازهای,O
بالتیمور,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
#EOS,47
#BOS,flight
ایا,O
خطوط,B-airline_name
هوایی,I-airline_name
یونایتد,I-airline_name
از,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
پرواز,O
میکند,O
#EOS,48
#BOS,flight
سلام,O
من,O
یک,O
برنامه,O
برای,O
پرواز,O
با,O
خطوط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
از,O
بوستون,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
میخواهم,O
#EOS,49
#BOS,aircraft
کوچکترین,B-mod
هواپیما,O
که,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
پرواز,O
می‌کند,O
و,O
هفتم,B-arrive_date.day_number
مه,B-arrive_date.month_name
می‌رسد,O
کدام,O
است,O
#EOS,50
#BOS,flight
پرواز,O
از,O
دالاس,B-fromloc.city_name
به,O
اوکلند,B-toloc.city_name
کالیفرنیا,B-toloc.state_name
در,O
روز,O
دوشنبه,B-depart_date.day_name
#EOS,51
#BOS,airfare
گران,B-cost_relative
قیمت‌ترین,I-cost_relative
نرخ,O
کرایه‌ی,O
پرواز,O
یک,B-round_trip
طرفه,I-round_trip
از,O
بوستون,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
در,O
خطوط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
چیست,O
#EOS,52
#BOS,flight
من,O
می‌خواهم,O
از,O
بوستون,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
پرواز,O
کنم,O
#EOS,53
#BOS,airline
لطفا,O
به,O
من,O
بگویید,O
که,O
کدام,O
خط,O
هوایی,O
بیشترین,B-mod
پروازها,O
را,O
از,O
اتلانتا,B-fromloc.city_name
دارد,O
#EOS,54
#BOS,flight
اولین,B-flight_mod
پرواز,O
از,O
بوستون,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
و,O
اخرین,B-flight_mod
پرواز,O
از,O
اتلانتا,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
چیست,O
#EOS,55
#BOS,flight
پرواز,O
از,O
دنور,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
فورت,I-toloc.city_name
ورث,I-toloc.city_name
#EOS,56
#BOS,flight
پرواز‌های,O
یکشنبه,B-depart_date.day_name
از,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
به,O
بوستون,B-toloc.city_name
که,O
بدون,B-flight_stop
توقف,I-flight_stop
فرست,B-class_type
کلاس,I-class_type
هستند,O
و,O
پس,B-depart_time.time_relative
از,I-depart_time.time_relative
۱۲,B-depart_time.time
ظهر,I-depart_time.time
حرکت,O
می‌کنند,O
را,O
به,O
من,O
نشان,O
بده,O
#EOS,57
#BOS,flight
تمام,O
پروازهای,O
شارلوت,B-fromloc.city_name
به,O
کلیولند,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,58
#BOS,flight
میخواهم,O
از,O
دنور,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
به,O
اتلانتا,B-toloc.city_name
پرواز,O
کنم,O
ایا,O
می‌توانید,O
ارزان‌ترین,B-cost_relative
راه,O
را,O
برای,O
این,O
کار,O
پیدا,O
کنید,O
#EOS,59
#BOS,flight
زودترین,B-flight_mod
پرواز,O
فردا,B-depart_date.today_relative
از,O
تمپا,B-fromloc.city_name
به,O
میلواکی,B-toloc.city_name
چیست,O
#EOS,60
#BOS,airfare
کمترین,B-cost_relative
نرخ,O
کرایه,O
بین,O
بوستون,B-fromloc.city_name
و,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
که,O
دلتا,B-airline_name
دارد,O
چیست,O
#EOS,61
#BOS,flight
پروازهای,O
سنت,B-fromloc.city_name
پترزبورگ,I-fromloc.city_name
به,O
تورنتو,B-toloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
که,O
صبح,B-arrive_time.period_of_day
زود,B-arrive_time.period_mod
می‌رسند,O
#EOS,62
#BOS,aircraft
مطمینا,O
می‌خواهم,O
مشخص,O
شود,O
که,O
در,O
پروازهای,O
هفتم,B-depart_date.day_number
ژوییه,B-depart_date.month_name
که,O
از,O
بوستون,B-fromloc.city_name
عزیمت,O
کرده,O
و,O
هفتم,B-arrive_date.day_number
ژوییه,B-arrive_date.month_name
وارد,O
اتلانتا,B-toloc.city_name
می‌شوند,O
چه,O
هواپیماهایی,O
استفاده,O
می‌شوند,O
#EOS,63
#BOS,airfare
قیمت,O
یک,O
پرواز,O
یک,B-round_trip
طرفه,I-round_trip
از,O
اتلانتا,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
در,O
هفتم,B-depart_date.day_number
نوامبر,B-depart_date.month_name
چقدر,O
است,O
#EOS,64
#BOS,flight
ایا,O
پرواز,O
دی‌ال,B-airline_code
۱۰۸۳,B-flight_number
از,O
فیلادلفیا,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
در,O
شنبه‌ها,B-depart_date.day_name
پرواز,O
میکند,O
#EOS,65
#BOS,flight
لیست,O
پروازها,O
بین,O
دنور,B-fromloc.city_name
و,O
اوکلند,B-toloc.city_name
را,O
به,O
من,O
بده,O
#EOS,66
#BOS,capacity
ظرفیت,O
۷۳۳,B-aircraft_code
چقدر,O
است,O
#EOS,67
#BOS,flight
پروازهای,O
روزانه,B-flight_mod
از,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
به,O
دنور,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,68
#BOS,flight
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
۸۲۳,B-depart_time.time
صبح,B-depart_time.period_of_day
چه,O
پروازهایی,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
نیوارک,B-toloc.city_name
می‌روند,O
#EOS,69
#BOS,flight
پروازهای,O
خروجی,O
از,O
لاو,B-fromloc.airport_name
فیلد,I-fromloc.airport_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,70
#BOS,aircraft
لطفا,O
میتوانی,O
نوع,O
هواپیمایی,O
که,O
برای,O
پرواز,O
از,O
اتلانتا,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
در,O
پرواز,O
ایسترن,B-airline_name
۸۲۵,B-flight_number
استفاده,O
شده,O
و,O
ساعت,O
۵۵۵,B-depart_time.time
خارج,O
میشه,O
بهم,O
بگی,O
#EOS,71
#BOS,ground_service
ایا,O
حمل,O
و,O
نقل,O
زمینی,O
در,O
بوستون,B-city_name
از,O
فرودگاه,O
وجود,O
دارد,O
#EOS,72
#BOS,flight
درجه‌های,O
سرویس‌ها,O
در,O
لوفت‌هانزا,B-airline_name
کدام,O
هستند,O
#EOS,73
#BOS,ground_service
من,O
به,O
یک,O
ماشین,B-transport_type
کرایه‌ای,I-transport_type
در,O
فرودگاه,B-airport_name
اتلانتا,I-airport_name
نیاز,O
خواهم,O
داشت,O
میتوانید,O
گزینه‌های,O
موجود,O
را,O
نشان,O
دهید,O
#EOS,74
#BOS,flight
من,O
چهارشنبه,B-depart_date.day_name
چهاردهم,B-depart_date.day_number
به,O
یک,O
پرواز,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
نیاز,O
دارم,O
#EOS,75
#BOS,flight
کدام,O
پروازهای,O
دلتا,B-airline_name
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
۱۲,B-depart_time.time
ظهر,I-depart_time.time
از,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
به,O
سمت,O
بوستون,B-toloc.city_name
حرکت,O
می‌کنند,O
#EOS,76
#BOS,flight
پروازهای,O
بین,O
بوستون,B-fromloc.city_name
و,O
دنور,B-toloc.city_name
را,O
نشان,O
بده,O
#EOS,77
#BOS,flight
تمام,O
پروازهایی,O
که,O
از,O
فرودگاه,B-fromloc.airport_name
بین‌المللی,I-fromloc.airport_name
ژنرال,I-fromloc.airport_name
میچل,I-fromloc.airport_name
انجام,O
می‌شوند,O
را,O
لیست,O
کنید,O
#EOS,78
#BOS,ground_service
حمل,O
و,O
نقل,O
زمینی,O
در,O
سیاتل,B-city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,79
#BOS,airfare
بلیط,O
رفت,B-round_trip
و,I-round_trip
برگشت,I-round_trip
از,O
بالتیمور,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
کمتر,B-cost_relative
از,O
۱۰۰۰,B-fare_amount
دلار,I-fare_amount
بلیط,O
رفت,B-round_trip
و,I-round_trip
برگشت,I-round_trip
از,O
دنور,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
کمتر,B-cost_relative
از,O
۱۰۰۰,B-fare_amount
دلار,I-fare_amount
بلیط,O
رفت,B-round_trip
و,I-round_trip
برگشت,I-round_trip
از,O
پیتسبرگ,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
کمتر,B-cost_relative
از,O
۱۰۰۰,B-fare_amount
دلار,I-fare_amount
#EOS,80
#BOS,airfare
می‌توانید,O
ارزانترین,B-cost_relative
پرواز,O
یک,B-round_trip
طرفه,I-round_trip
از,O
بوستون,B-fromloc.city_name
به,O
سن,O
فرانسیسکو,B-toloc.city_name
را,I-toloc.city_name
به,O
من,O
بگویید,O
#EOS,81
#BOS,flight
من,O
به,O
دنبال,O
پرواز,O
از,O
اوکلند,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
قبل,B-depart_time.time_relative
از,I-depart_time.time_relative
۱۰۴۵,B-depart_time.time
صبح,I-depart_time.time
هستم,O
#EOS,82
#BOS,flight
چه,O
پروازهایی,O
برای,O
شنبه,B-depart_date.day_name
صبح,B-depart_time.period_of_day
از,O
فیلادلفیا,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
دارید,O
#EOS,83
#BOS,flight
لطفا,O
پروازهای,O
تی‌دابلیو‌ای,B-airline_code
بدون,B-flight_stop
توقف,I-flight_stop
از,O
لاس,B-fromloc.city_name
وگاس,I-fromloc.city_name
به,O
نیویورک,B-toloc.city_name
را,O
لیست,O
کنید,O
#EOS,84
#BOS,airfare
هزینه,O
پرواز,O
دلتا,B-airline_name
از,O
دالاس,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
چقدر,O
است,O
#EOS,85
#BOS,flight
پروازهای,O
بدون,B-flight_stop
توقف,B-flight_stop
یک,B-round_trip
طرفه,I-round_trip
از,O
نیویورک,B-fromloc.city_name
به,O
میامی,B-toloc.city_name
در,O
روز,O
سه,B-arrive_date.day_name
شنبه,I-arrive_date.day_name
که,O
کمتر,B-cost_relative
از,O
۴۶۶,B-fare_amount
دلار,I-fare_amount
هزینه,O
دارد,O
را,O
نشان,O
دهید,O
#EOS,86
#BOS,flight
تمام,O
پروازهای,O
بدون,B-flight_stop
توقف,I-flight_stop
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ظهر,B-depart_time.time
پنج,B-depart_date.day_name
شنبه,I-depart_date.day_name
از,O
بالتیمور,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
را,O
لیست,O
کنید,O
#EOS,87
#BOS,flight
لطفا,O
پروازهایی,O
که,O
سنت,B-fromloc.city_name
لوییس,I-fromloc.city_name
را,O
به,O
مقصد,O
سنت,B-toloc.city_name
پال,I-toloc.city_name
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
۱۰,B-depart_time.time
صبح,I-depart_time.time
ترک,O
می‌کنند,O
لیست,O
کن,O
#EOS,88
#BOS,flight
لطفا,O
همه,O
پروازها,O
را,O
از,O
واشنگتن,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
لیست,O
کنید,O
#EOS,89
#BOS,ground_service
برنامه,O
حمل,O
و,O
نقل,O
زمینی,O
عصر,B-period_of_day
پنجشنبه,B-day_name
را,O
در,O
سن,B-city_name
فرانسیسکو,I-city_name
به,O
من,O
نشان,O
دهید,O
#EOS,90
#BOS,capacity
یک,O
۷۳۴,B-aircraft_code
چند,O
صندلی,O
دارد,O
#EOS,91
#BOS,flight
پروازهای,O
روز,O
چهارشنبه,B-depart_date.day_name
خطوط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
از,O
فینیکس,B-fromloc.city_name
به,O
میلواکی,B-toloc.city_name
را,O
به,O
من,O
بده,O
#EOS,92
#BOS,flight
پروازهای,O
پیتسبرگ,B-fromloc.city_name
به,O
نیوارک,B-toloc.city_name
#EOS,93
#BOS,flight
پروازهای,O
سن,B-fromloc.city_name
دیگو,I-fromloc.city_name
به,O
نیوارک,B-toloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,94
#BOS,flight
من,O
یک,O
پرواز,O
برای,O
فردا,B-depart_date.today_relative
اخر,B-depart_time.period_mod
وقت,I-depart_time.period_mod
از,O
نشویل,B-fromloc.city_name
به,O
هیوستون,B-toloc.city_name
با,O
شام,B-meal_description
می‌خواهم,O
لطفا,O
#EOS,95
#BOS,airfare
لطفا,O
کرایه‌ها,O
از,O
دنور,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
را,O
به,O
من,O
بگویید,O
#EOS,96
#BOS,airline
خط,O
هوایی,O
ان‌دابلیو,B-airline_code
چیست,O
#EOS,97
#BOS,abbreviation
کد,O
بلیط,O
کیو‌ایکس,B-fare_basis_code
به,O
چه,O
معناست,O
#EOS,98
#BOS,flight
پروازهای,O
بدون,B-flight_stop
توقف,I-flight_stop
از,O
هیوستون,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
را,O
نشانم,O
بده,O
#EOS,99
#BOS,flight
چه,O
پروازهایی,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
در,O
صبح,B-depart_time.period_of_day
پنج,B-depart_date.day_name
شنبه,I-depart_date.day_name
در,O
دسترس,O
هستند,O
#EOS,100
#BOS,ground_service
پس,B-today_relative
فردا,I-today_relative
چه,O
حمل,O
و,O
نقل,O
زمینی,O
در,O
بالتیمور,B-city_name
موجود,O
است,O
#EOS,101
#BOS,flight
تمام,O
پروازها,O
به,O
بالتیمور,B-toloc.city_name
از,O
دنور,B-fromloc.city_name
یا,B-or
فیلادلفیا,B-fromloc.city_name
یا,B-or
پیتسبرگ,B-fromloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,102
#BOS,flight
چه,O
پروازهایی,O
اتلانتا,B-fromloc.city_name
را,O
به,O
مقصد,O
بوستون,B-toloc.city_name
در,O
بعد,B-depart_time.period_of_day
از,I-depart_time.period_of_day
ظهر,I-depart_time.period_of_day
بیست,B-depart_date.day_number
و,I-depart_date.day_number
نهم,I-depart_date.day_number
ژوین,B-depart_date.month_name
ترک,O
میکنند,O
#EOS,103
#BOS,airfare
من,O
برای,O
هفدهم,B-depart_date.day_number
دسامبر,B-depart_date.month_name
به,O
بلیط,O
فرست,B-class_type
کلاس,I-class_type
خطوط,B-airline_name
هوایی,I-airline_name
یونایتد,I-airline_name
از,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
نیاز,O
دارم,O
#EOS,104
#BOS,flight
من,O
به,O
